CATUTTC,Community,IndicatorMeasurement,IndicatorValueTime,IndicatorValue
UA46060070000047720,Городоцька,тис. грн,Q1 2024,110417.54
UA46100030000016064,Грабовецько-Дулiбiвська,тис. грн,Q1 2024,32060.75
UA46060090000017373,Давидiвська,тис. грн,Q1 2024,70764.25
UA46080050000015399,Добромильська,тис. грн,Q1 2024,34644.22
UA46060110000011684,Добросинсько-Магерiвська,тис. грн,Q1 2024,34683.82
UA46120050000027080,Добротвiрська,тис. грн,Q1 2024,32276.31
UA46020030000019252,Дрогобицька,тис. грн,Q1 2024,258241.24
UA46100050000053848,Жидачiвська,тис. грн,Q1 2024,50476.5
UA46060130000059055,Жовкiвська,тис. грн,Q1 2024,97916.7
UA46060150000060045,Жовтанецька,тис. грн,Q1 2024,29069.49
UA46100070000076013,Журавненська,тис. грн,Q1 2024,23170.63
UA46040050000062043,Заболотцiвська,тис. грн,Q1 2024,14816.08
UA46060170000014754,Зимноводiвська,тис. грн,Q1 2024,77272.08
UA46040070000032075,Золочiвська,тис. грн,Q1 2024,115450.83
UA46140010000081849,Івано-Франківська,тис. грн,Q1 2024,66363.34
UA46060190000038354,Кам'янка-Бузька,тис. грн,Q1 2024,66590.44
UA46100090000076723,Козiвська,тис. грн,Q1 2024,30379.56
UA46060210000047788,Комарнiвська,тис. грн,Q1 2024,29292.26
UA46040090000012087,Красненська,тис. грн,Q1 2024,40331.76
UA46060230000093092,Куликiвська,тис. грн,Q1 2024,30828.76
UA46120070000071541,Лопатинська,тис. грн,Q1 2024,24872.26
UA46060250000025047,Львiвська,тис. грн,Q1 2024,3870006.25
UA46020050000037271,Меденицька,тис. грн,Q1 2024,35640.13
UA46100110000018989,Миколаївська,тис. грн,Q1 2024,91766.69
UA46100130000048262,Моршинська,тис. грн,Q1 2024,39265.52
UA46140030000023506,Мостиська,тис. грн,Q1 2024,79160.62
UA46060270000027170,Мурованська,тис. грн,Q1 2024,147496.47
UA46080070000035761,Новокалинiвська,тис. грн,Q1 2024,32333.77
UA46100150000087495,Новороздiльська,тис. грн,Q1 2024,66154.9
UA46140050000054478,Новояворiвська,тис. грн,Q1 2024,126846.71
UA46060290000052876,Новояричiвська,тис. грн,Q1 2024,54551.04
UA46060310000086550,Оброшинська,тис. грн,Q1 2024,28768.7
UA46060330000065074,Перемишлянська,тис. грн,Q1 2024,50473.69
UA46060350000036006,Пiдберiзцiвська,тис. грн,Q1 2024,35602.53
UA46040110000093394,Пiдкамiнська,тис. грн,Q1 2024,20288.11
UA46040130000035029,Поморянська,тис. грн,Q1 2024,12279.13
UA46060370000065608,Пустомитiвська,тис. грн,Q1 2024,63034.29
UA46060390000035967,Рава-Руська,тис. грн,Q1 2024,73005.73
UA46120090000051307,Радехiвська,тис. грн,Q1 2024,106031.21
UA46080090000029798,Ралiвська,тис. грн,Q1 2024,28985.36
UA46100170000077437,Розвадiвська,тис. грн,Q1 2024,32676.3
UA46080110000050484,Рудкiвська,тис. грн,Q1 2024,50058.34
UA46080130000077112,Самбiрська,тис. грн,Q1 2024,94835.15
UA46100190000081766,Сколiвська,тис. грн,Q1 2024,68973.35
UA46100210000027970,Славська,тис. грн,Q1 2024,111275.75
UA46120110000062257,Сокальська,тис. грн,Q1 2024,115596.87
UA46060410000052681,Сокiльницька,тис. грн,Q1 2024,60531.94
UA46060430000091455,Солонкiвська,тис. грн,Q1 2024,61012.82
UA46080150000050321,Старосамбiрська,тис. грн,Q1 2024,49499.3
UA46100230000047305,Стрийська,тис. грн,Q1 2024,312730.34
UA46080170000064605,Стрiлкiвська,тис. грн,Q1 2024,28224.72
UA46140070000010135,Судововишнянська,тис. грн,Q1 2024,26038.83
UA46020070000056149,Схiдницька,тис. грн,Q1 2024,44647.92
UA46100250000088835,Тростянецька,тис. грн,Q1 2024,27195.12
UA46020090000057315,Трускавецька,тис. грн,Q1 2024,118579.57
UA46080190000096121,Туркiвська,тис. грн,Q1 2024,61742.55
UA46080210000051983,Хирiвська,тис. грн,Q1 2024,31908.26
UA46100270000094052,Ходорiвська,тис. грн,Q1 2024,50941.75
UA46120130000026331,Червоноградська,тис. грн,Q1 2024,212613.75
UA46140090000079730,Шегинiвська,тис. грн,Q1 2024,32445.82
UA46060450000037997,Щирецька,тис. грн,Q1 2024,26639.82
UA46140110000063568,Яворiвська,тис. грн,Q1 2024,138211.41
UA46120010000054878,Белзька,тис. грн,Q2 2024,69444.65
UA46060010000049728,Бiбрська,тис. грн,Q2 2024,89895.38
UA46080010000010628,Бiсковицька,тис. грн,Q2 2024,82546.21
UA46080030000048662,Боринська,тис. грн,Q2 2024,112137.07
UA46020010000073886,Бориславська,тис. грн,Q2 2024,222396.69
UA46040010000033885,Бродiвська,тис. грн,Q2 2024,232444.83
UA46040030000058332,Буська,тис. грн,Q2 2024,171255.77
UA46060030000020652,Великолюбiнська,тис. грн,Q2 2024,59260.3
UA46120030000069375,Великомостiвська,тис. грн,Q2 2024,83638.37
UA46060050000016451,Глинянська,тис. грн,Q2 2024,48956.4
UA46100010000066018,Гнiздичiвська,тис. грн,Q2 2024,40598.08
UA46060070000047720,Городоцька,тис. грн,Q2 2024,251731.97
UA46100030000016064,Грабовецько-Дулiбiвська,тис. грн,Q2 2024,70813.72
UA46060090000017373,Давидiвська,тис. грн,Q2 2024,162835.68
UA46080050000015399,Добромильська,тис. грн,Q2 2024,79765.93
UA46060110000011684,Добросинсько-Магерiвська,тис. грн,Q2 2024,85379.51
UA46120050000027080,Добротвiрська,тис. грн,Q2 2024,68371.03
UA46020030000019252,Дрогобицька,тис. грн,Q2 2024,567163.77
UA46100050000053848,Жидачiвська,тис. грн,Q2 2024,108746.28
UA46060130000059055,Жовкiвська,тис. грн,Q2 2024,220418.22
UA46060150000060045,Жовтанецька,тис. грн,Q2 2024,69581.39
UA46100070000076013,Журавненська,тис. грн,Q2 2024,50948.9
UA46040050000062043,Заболотцiвська,тис. грн,Q2 2024,35589.91
UA46060170000014754,Зимноводiвська,тис. грн,Q2 2024,178066.35
UA46040070000032075,Золочiвська,тис. грн,Q2 2024,265802.13
UA46140010000081849,Івано-Франківська,тис. грн,Q2 2024,148624.4
UA46060190000038354,Кам'янка-Бузька,тис. грн,Q2 2024,144809.05
UA46100090000076723,Козiвська,тис. грн,Q2 2024,70173.77
UA46060210000047788,Комарнiвська,тис. грн,Q2 2024,70615.26
UA46040090000012087,Красненська,тис. грн,Q2 2024,90583.58
UA46060230000093092,Куликiвська,тис. грн,Q2 2024,70744.27
UA46120070000071541,Лопатинська,тис. грн,Q2 2024,56196.86
UA46060250000025047,Львiвська,тис. грн,Q2 2024,8507065.15
UA46020050000037271,Меденицька,тис. грн,Q2 2024,81526.38
UA46100110000018989,Миколаївська,тис. грн,Q2 2024,206237.03
UA46100130000048262,Моршинська,тис. грн,Q2 2024,90731.63
UA46140030000023506,Мостиська,тис. грн,Q2 2024,189007.72
UA46060270000027170,Мурованська,тис. грн,Q2 2024,200663.76
UA46080070000035761,Новокалинiвська,тис. грн,Q2 2024,72472.39
UA46100150000087495,Новороздiльська,тис. грн,Q2 2024,152405.24
UA46140050000054478,Новояворiвська,тис. грн,Q2 2024,287431.89
UA46060290000052876,Новояричiвська,тис. грн,Q2 2024,122492.75
UA46060310000086550,Оброшинська,тис. грн,Q2 2024,66959.65
UA46060330000065074,Перемишлянська,тис. грн,Q2 2024,118831.87
UA46060350000036006,Пiдберiзцiвська,тис. грн,Q2 2024,71709.94
UA46040110000093394,Пiдкамiнська,тис. грн,Q2 2024,45915.87
UA46040130000035029,Поморянська,тис. грн,Q2 2024,28403.05
UA46060370000065608,Пустомитiвська,тис. грн,Q2 2024,139531.12
UA46060390000035967,Рава-Руська,тис. грн,Q2 2024,163567.17
UA46120090000051307,Радехiвська,тис. грн,Q2 2024,236429.35
UA46080090000029798,Ралiвська,тис. грн,Q2 2024,66391.13
UA46100170000077437,Розвадiвська,тис. грн,Q2 2024,77465.93
UA46080110000050484,Рудкiвська,тис. грн,Q2 2024,115848.95
UA46080130000077112,Самбiрська,тис. грн,Q2 2024,209805.38
UA46100190000081766,Сколiвська,тис. грн,Q2 2024,167395.97
UA46100210000027970,Славська,тис. грн,Q2 2024,275158.56
UA46120110000062257,Сокальська,тис. грн,Q2 2024,257098.18
UA46060410000052681,Сокiльницька,тис. грн,Q2 2024,130515.37
UA46060430000091455,Солонкiвська,тис. грн,Q2 2024,134166.03
UA46080150000050321,Старосамбiрська,тис. грн,Q2 2024,114010.85
UA46100230000047305,Стрийська,тис. грн,Q2 2024,700705.58
UA46080170000064605,Стрiлкiвська,тис. грн,Q2 2024,64619.26
UA46140070000010135,Судововишнянська,тис. грн,Q2 2024,60310.74
UA46020070000056149,Схiдницька,тис. грн,Q2 2024,101311.37
UA46100250000088835,Тростянецька,тис. грн,Q2 2024,57539.42
UA46020090000057315,Трускавецька,тис. грн,Q2 2024,255784.92
UA46080190000096121,Туркiвська,тис. грн,Q2 2024,147071.94
UA46080210000051983,Хирiвська,тис. грн,Q2 2024,77104.59
UA46100270000094052,Ходорiвська,тис. грн,Q2 2024,114929.12
UA46120130000026331,Червоноградська,тис. грн,Q2 2024,448667.58
UA46140090000079730,Шегинiвська,тис. грн,Q2 2024,73302.67
UA46060450000037997,Щирецька,тис. грн,Q2 2024,61229.21
UA46140110000063568,Яворiвська,тис. грн,Q2 2024,302627.74
UA46120010000054878,Белзька,тис. грн,Q3 2024,97069.35
UA46060010000049728,Бiбрська,тис. грн,Q3 2024,128784.23
UA46080010000010628,Бiсковицька,тис. грн,Q3 2024,123650.88
UA46080030000048662,Боринська,тис. грн,Q3 2024,160426.61
UA46020010000073886,Бориславська,тис. грн,Q3 2024,323166.11
UA46040010000033885,Бродiвська,тис. грн,Q3 2024,362604.27
UA46040030000058332,Буська,тис. грн,Q3 2024,247205.6
UA46060030000020652,Великолюбiнська,тис. грн,Q3 2024,83921.47
UA46120030000069375,Великомостiвська,тис. грн,Q3 2024,117934.13
UA46060050000016451,Глинянська,тис. грн,Q3 2024,70117.44
UA46100010000066018,Гнiздичiвська,тис. грн,Q3 2024,59052.3
UA46060070000047720,Городоцька,тис. грн,Q3 2024,402436.03
UA46100030000016064,Грабовецько-Дулiбiвська,тис. грн,Q3 2024,100672.21
UA46060090000017373,Давидiвська,тис. грн,Q3 2024,268520.67
UA46080050000015399,Добромильська,тис. грн,Q3 2024,111342.94
UA46060110000011684,Добросинсько-Магерiвська,тис. грн,Q3 2024,116961.48
UA46120050000027080,Добротвiрська,тис. грн,Q3 2024,98040.69
UA46020030000019252,Дрогобицька,тис. грн,Q3 2024,826459.3
UA46100050000053848,Жидачiвська,тис. грн,Q3 2024,158089.04
UA46060130000059055,Жовкiвська,тис. грн,Q3 2024,324504.61
UA46060150000060045,Жовтанецька,тис. грн,Q3 2024,99757.65
UA46100070000076013,Журавненська,тис. грн,Q3 2024,74544.7
UA46040050000062043,Заболотцiвська,тис. грн,Q3 2024,52411.23
UA46060170000014754,Зимноводiвська,тис. грн,Q3 2024,279487.86
UA46040070000032075,Золочiвська,тис. грн,Q3 2024,377709.9
UA46140010000081849,Івано-Франківська,тис. грн,Q3 2024,214457.5
UA46060190000038354,Кам'янка-Бузька,тис. грн,Q3 2024,210939.49
UA46100090000076723,Козiвська,тис. грн,Q3 2024,98700.64
UA46060210000047788,Комарнiвська,тис. грн,Q3 2024,100760.54
UA46040090000012087,Красненська,тис. грн,Q3 2024,128015.15
UA46060230000093092,Куликiвська,тис. грн,Q3 2024,104118.14
UA46120070000071541,Лопатинська,тис. грн,Q3 2024,77957.29
UA46060250000025047,Львiвська,тис. грн,Q3 2024,13751999.54
UA46020050000037271,Меденицька,тис. грн,Q3 2024,117402.58
UA46100110000018989,Миколаївська,тис. грн,Q3 2024,303149.16
UA46100130000048262,Моршинська,тис. грн,Q3 2024,145976.23
UA46140030000023506,Мостиська,тис. грн,Q3 2024,269932.36
UA46060270000027170,Мурованська,тис. грн,Q3 2024,250431.31
UA46080070000035761,Новокалинiвська,тис. грн,Q3 2024,105082.36
UA46100150000087495,Новороздiльська,тис. грн,Q3 2024,232213.41
UA46140050000054478,Новояворiвська,тис. грн,Q3 2024,432869.91
UA46060290000052876,Новояричiвська,тис. грн,Q3 2024,182622.58
UA46060310000086550,Оброшинська,тис. грн,Q3 2024,99095.28
UA46060330000065074,Перемишлянська,тис. грн,Q3 2024,177956.32
UA46060350000036006,Пiдберiзцiвська,тис. грн,Q3 2024,108323.1
UA46040110000093394,Пiдкамiнська,тис. грн,Q3 2024,65502.32
UA46040130000035029,Поморянська,тис. грн,Q3 2024,40668.63
UA46060370000065608,Пустомитiвська,тис. грн,Q3 2024,203385.47
UA46060390000035967,Рава-Руська,тис. грн,Q3 2024,227964.33
UA46120090000051307,Радехiвська,тис. грн,Q3 2024,342371.26
UA46080090000029798,Ралiвська,тис. грн,Q3 2024,96732.37
UA46100170000077437,Розвадiвська,тис. грн,Q3 2024,130036.73
UA46080110000050484,Рудкiвська,тис. грн,Q3 2024,171863.12
UA46080130000077112,Самбiрська,тис. грн,Q3 2024,308395.65
UA46100190000081766,Сколiвська,тис. грн,Q3 2024,261716.03
UA46100210000027970,Славська,тис. грн,Q3 2024,433982.92
UA46120110000062257,Сокальська,тис. грн,Q3 2024,382791.84
UA46060410000052681,Сокiльницька,тис. грн,Q3 2024,203456.89
UA46060430000091455,Солонкiвська,тис. грн,Q3 2024,202543.82
UA46080150000050321,Старосамбiрська,тис. грн,Q3 2024,161098.66
UA46100230000047305,Стрийська,тис. грн,Q3 2024,1083870.18
UA46080170000064605,Стрiлкiвська,тис. грн,Q3 2024,89176.5
UA46140070000010135,Судововишнянська,тис. грн,Q3 2024,90852.78
UA46020070000056149,Схiдницька,тис. грн,Q3 2024,147673.67
UA46100250000088835,Тростянецька,тис. грн,Q3 2024,83814.49
UA46020090000057315,Трускавецька,тис. грн,Q3 2024,387124.6
UA46080190000096121,Туркiвська,тис. грн,Q3 2024,194981.44
UA46080210000051983,Хирiвська,тис. грн,Q3 2024,107359.26
UA46100270000094052,Ходорiвська,тис. грн,Q3 2024,165016.85
UA46120130000026331,Червоноградська,тис. грн,Q3 2024,690857.02
UA46140090000079730,Шегинiвська,тис. грн,Q3 2024,113114.93
UA46060450000037997,Щирецька,тис. грн,Q3 2024,87311.18
UA46140110000063568,Яворiвська,тис. грн,Q3 2024,424272.34
UA46120010000054878,Белзька,тис.грн,Q4 2024,149317.21
UA46060010000049728,Бiбрська,тис.грн,Q4 2024,190580.06
UA46080010000010628,Бiсковицька,тис.грн,Q4 2024,171865.78
UA46080030000048662,Боринська,тис.грн,Q4 2024,235069.87
UA46020010000073886,Бориславська,тис.грн,Q4 2024,461018.5
UA46040010000033885,Бродiвська,тис.грн,Q4 2024,516053.3
UA46040030000058332,Буська,тис.грн,Q4 2024,358603.69
UA46060030000020652,Великолюбiнська,тис.грн,Q4 2024,111922.93
UA46120030000069375,Великомостiвська,тис.грн,Q4 2024,167057.3
UA46060050000016451,Глинянська,тис.грн,Q4 2024,104541.37
UA46100010000066018,Гнiздичiвська,тис.грн,Q4 2024,84768.47
UA46060070000047720,Городоцька,тис.грн,Q4 2024,559611.18
UA46100030000016064,Грабовецько-Дулiбiвська,тис.грн,Q4 2024,145690.62
UA46060090000017373,Давидiвська,тис.грн,Q4 2024,374645.98
UA46080050000015399,Добромильська,тис.грн,Q4 2024,162734.67
UA46060110000011684,Добросинсько-Магерiвська,тис.грн,Q4 2024,166347.89
UA46120050000027080,Добротвiрська,тис.грн,Q4 2024,154847.14
UA46020030000019252,Дрогобицька,тис.грн,Q4 2024,1180075.65
UA46100050000053848,Жидачiвська,тис.грн,Q4 2024,220904.05
UA46060130000059055,Жовкiвська,тис.грн,Q4 2024,446798.32
UA46060150000060045,Жовтанецька,тис.грн,Q4 2024,146481.14
UA46100070000076013,Журавненська,тис.грн,Q4 2024,105750.24
UA46040050000062043,Заболотцiвська,тис.грн,Q4 2024,79976.79
UA46060170000014754,Зимноводiвська,тис.грн,Q4 2024,428350.1
UA46040070000032075,Золочiвська,тис.грн,Q4 2024,544226.54
UA46140010000081849,Iвано-Франкiвська,тис.грн,Q4 2024,301858.59
UA46060190000038354,Кам'янка-Бузька,тис.грн,Q4 2024,303544.22
UA46100090000076723,Козiвська,тис.грн,Q4 2024,139513.81
UA46060210000047788,Комарнiвська,тис.грн,Q4 2024,142812.52
UA46040090000012087,Красненська,тис.грн,Q4 2024,184068.62
UA46060230000093092,Куликiвська,тис.грн,Q4 2024,148632.46
UA46120070000071541,Лопатинська,тис.грн,Q4 2024,116732.64
UA46060250000025047,Львiвська,тис.грн,Q4 2024,18509109.62
UA46020050000037271,Меденицька,тис.грн,Q4 2024,165888.14
UA46100110000018989,Миколаївська,тис.грн,Q4 2024,425955.14
UA46100130000048262,Моршинська,тис.грн,Q4 2024,201695.97
UA46140030000023506,Мостиська,тис.грн,Q4 2024,377641.15
UA46060270000027170,Мурованська,тис.грн,Q4 2024,327036.48
UA46080070000035761,Новокалинiвська,тис.грн,Q4 2024,151877.63
UA46100150000087495,Новороздiльська,тис.грн,Q4 2024,330685.76
UA46140050000054478,Новояворiвська,тис.грн,Q4 2024,628002.16
UA46060290000052876,Новояричiвська,тис.грн,Q4 2024,263097.53
UA46060310000086550,Оброшинська,тис.грн,Q4 2024,144070.34
UA46060330000065074,Перемишлянська,тис.грн,Q4 2024,257790.07
UA46060350000036006,Пiдберiзцiвська,тис.грн,Q4 2024,196153.42
UA46040110000093394,Пiдкамiнська,тис.грн,Q4 2024,99810.76
UA46040130000035029,Поморянська,тис.грн,Q4 2024,62383.5
UA46060370000065608,Пустомитiвська,тис.грн,Q4 2024,284953.07
UA46060390000035967,Рава-Руська,тис.грн,Q4 2024,329378.98
UA46120090000051307,Радехiвська,тис.грн,Q4 2024,483762.78
UA46080090000029798,Ралiвська,тис.грн,Q4 2024,137403.08
UA46100170000077437,Розвадiвська,тис.грн,Q4 2024,175091.91
UA46080110000050484,Рудкiвська,тис.грн,Q4 2024,249073.47
UA46080130000077112,Самбiрська,тис.грн,Q4 2024,456980.98
UA46100190000081766,Сколiвська,тис.грн,Q4 2024,376316.61
UA46100210000027970,Славська,тис.грн,Q4 2024,577734.29
UA46120110000062257,Сокальська,тис.грн,Q4 2024,548108.57
UA46060410000052681,Сокiльницька,тис.грн,Q4 2024,286061.44
UA46060430000091455,Солонкiвська,тис.грн,Q4 2024,292273.25
UA46080150000050321,Старосамбiрська,тис.грн,Q4 2024,240615.28
UA46100230000047305,Стрийська,тис.грн,Q4 2024,1543334.18
UA46080170000064605,Стрiлкiвська,тис.грн,Q4 2024,127427.7
UA46140070000010135,Судововишнянська,тис.грн,Q4 2024,133793.73
UA46020070000056149,Схiдницька,тис.грн,Q4 2024,230346.35
UA46100250000088835,Тростянецька,тис.грн,Q4 2024,117588.47
UA46020090000057315,Трускавецька,тис.грн,Q4 2024,540265.59
UA46080190000096121,Туркiвська,тис.грн,Q4 2024,265661.16
UA46080210000051983,Хирiвська,тис.грн,Q4 2024,154117.45
UA46100270000094052,Ходорiвська,тис.грн,Q4 2024,245441.23
UA46120130000026331,Червоноградська,тис.грн,Q4 2024,990423.03
UA46140090000079730,Шегинiвська,тис.грн,Q4 2024,161945.99
UA46060450000037997,Щирецька,тис.грн,Q4 2024,122900.38
UA46140110000063568,Яворiвська,тис.грн,Q4 2024,600345.24
UA46120010000054878,Белзька,тис.грн,Q1 2025,62339.97
UA46060010000049728,Бiбрська,тис.грн,Q1 2025,68242.42
UA46080010000010628,Бiсковицька,тис.грн,Q1 2025,38718.76
UA46080030000048662,Боринська,тис.грн,Q1 2025,56933.31
UA46020010000073886,Бориславська,тис.грн,Q1 2025,113538.36
UA46040010000033885,Бродiвська,тис.грн,Q1 2025,131193.92
UA46040030000058332,Буська,тис.грн,Q1 2025,95268.77
UA46060030000020652,Великолюбiнська,тис.грн,Q1 2025,34934.68
UA46120030000069375,Великомостiвська,тис.грн,Q1 2025,45406.81
UA46060050000016451,Глинянська,тис.грн,Q1 2025,25342.36
UA46100010000066018,Гнiздичiвська,тис.грн,Q1 2025,22618.34
UA46060070000047720,Городоцька,тис.грн,Q1 2025,158493.39
UA46100030000016064,Грабовецько-Дулiбiвська,тис.грн,Q1 2025,38327.14
UA46060090000017373,Давидiвська,тис.грн,Q1 2025,94413.32
UA46080050000015399,Добромильська,тис.грн,Q1 2025,37628.01
UA46060110000011684,Добросинсько-Магерiвська,тис.грн,Q1 2025,41979.22
UA46120050000027080,Добротвiрська,тис.грн,Q1 2025,76420.61
UA46020030000019252,Дрогобицька,тис.грн,Q1 2025,303434.21
UA46100050000053848,Жидачiвська,тис.грн,Q1 2025,58393.54
UA46060130000059055,Жовкiвська,тис.грн,Q1 2025,120239.63
UA46060150000060045,Жовтанецька,тис.грн,Q1 2025,38983.6
UA46100070000076013,Журавненська,тис.грн,Q1 2025,25693.22
UA46040050000062043,Заболотцiвська,тис.грн,Q1 2025,20433.0
UA46060170000014754,Зимноводiвська,тис.грн,Q1 2025,98713.59
UA46040070000032075,Золочiвська,тис.грн,Q1 2025,136207.97
UA46140010000081849,Iвано-Франкiвська,тис.грн,Q1 2025,78062.89
UA46060190000038354,Кам'янка-Бузька,тис.грн,Q1 2025,77503.0
UA46100090000076723,Козiвська,тис.грн,Q1 2025,35926.97
UA46060210000047788,Комарнiвська,тис.грн,Q1 2025,34957.35
UA46040090000012087,Красненська,тис.грн,Q1 2025,45331.79
UA46060230000093092,Куликiвська,тис.грн,Q1 2025,42548.77
UA46120070000071541,Лопатинська,тис.грн,Q1 2025,33250.11
UA46060250000025047,Львiвська,тис.грн,Q1 2025,4601860.67
UA46020050000037271,Меденицька,тис.грн,Q1 2025,42865.24
UA46100110000018989,Миколаївська,тис.грн,Q1 2025,102359.24
UA46100130000048262,Моршинська,тис.грн,Q1 2025,60912.94
UA46140030000023506,Мостиська,тис.грн,Q1 2025,91518.21
UA46060270000027170,Мурованська,тис.грн,Q1 2025,62957.94
UA46080070000035761,Новокалинiвська,тис.грн,Q1 2025,32019.52
UA46100150000087495,Новороздiльська,тис.грн,Q1 2025,89433.32
UA46140050000054478,Новояворiвська,тис.грн,Q1 2025,155097.06
UA46060290000052876,Новояричiвська,тис.грн,Q1 2025,63099.42
UA46060310000086550,Оброшинська,тис.грн,Q1 2025,39727.71
UA46060330000065074,Перемишлянська,тис.грн,Q1 2025,78457.51
UA46060350000036006,Пiдберiзцiвська,тис.грн,Q1 2025,54700.97
UA46040110000093394,Пiдкамiнська,тис.грн,Q1 2025,24520.56
UA46040130000035029,Поморянська,тис.грн,Q1 2025,15660.17
UA46060370000065608,Пустомитiвська,тис.грн,Q1 2025,77405.38
UA46060390000035967,Рава-Руська,тис.грн,Q1 2025,85887.02
UA46120090000051307,Радехiвська,тис.грн,Q1 2025,139579.26
UA46080090000029798,Ралiвська,тис.грн,Q1 2025,34041.63
UA46100170000077437,Розвадiвська,тис.грн,Q1 2025,40577.16
UA46080110000050484,Рудкiвська,тис.грн,Q1 2025,60603.27
UA46080130000077112,Самбiрська,тис.грн,Q1 2025,107453.22
UA46100190000081766,Сколiвська,тис.грн,Q1 2025,110807.99
UA46100210000027970,Славська,тис.грн,Q1 2025,145048.85
UA46120110000062257,Сокальська,тис.грн,Q1 2025,145657.66
UA46060410000052681,Сокiльницька,тис.грн,Q1 2025,91753.48
UA46060430000091455,Солонкiвська,тис.грн,Q1 2025,77744.04
UA46080150000050321,Старосамбiрська,тис.грн,Q1 2025,52950.0
UA46100230000047305,Стрийська,тис.грн,Q1 2025,388998.34
UA46080170000064605,Стрiлкiвська,тис.грн,Q1 2025,31603.7
UA46140070000010135,Судововишнянська,тис.грн,Q1 2025,31334.54
UA46020070000056149,Схiдницька,тис.грн,Q1 2025,88684.45
UA46100250000088835,Тростянецька,тис.грн,Q1 2025,32787.44
UA46020090000057315,Трускавецька,тис.грн,Q1 2025,131533.79
UA46080190000096121,Туркiвська,тис.грн,Q1 2025,58734.06
UA46080210000051983,Хирiвська,тис.грн,Q1 2025,38417.68
UA46100270000094052,Ходорiвська,тис.грн,Q1 2025,61353.07
UA46120130000026331,Червоноградська,тис.грн,Q1 2025,262611.91
UA46140090000079730,Шегинiвська,тис.грн,Q1 2025,39857.36
UA46060450000037997,Щирецька,тис.грн,Q1 2025,33492.37
UA46140110000063568,Яворiвська,тис.грн,Q1 2025,158178.72
UA46120010000054878,Белзька,тис.грн,Q2 2025,94716.81
UA46060010000049728,Бiбрська,тис.грн,Q2 2025,144747.05
UA46080010000010628,Бiсковицька,тис.грн,Q2 2025,91428.6
UA46080030000048662,Боринська,тис.грн,Q2 2025,137006.82
UA46020010000073886,Бориславська,тис.грн,Q2 2025,254875.23
UA46040010000033885,Бродiвська,тис.грн,Q2 2025,294727.25
UA46040030000058332,Буська,тис.грн,Q2 2025,219088.83
UA46060030000020652,Великолюбiнська,тис.грн,Q2 2025,74876.18
UA46120030000069375,Великомостiвська,тис.грн,Q2 2025,101735.8
UA46060050000016451,Глинянська,тис.грн,Q2 2025,58585.78
UA46100010000066018,Гнiздичiвська,тис.грн,Q2 2025,48258.51
UA46060070000047720,Городоцька,тис.грн,Q2 2025,334497.9
UA46100030000016064,Грабовецько-Дулiбiвська,тис.грн,Q2 2025,86408.07
UA46060090000017373,Давидiвська,тис.грн,Q2 2025,207280.81
UA46080050000015399,Добромильська,тис.грн,Q2 2025,83498.17
UA46060110000011684,Добросинсько-Магерiвська,тис.грн,Q2 2025,99559.9
UA46120050000027080,Добротвiрська,тис.грн,Q2 2025,132928.42
UA46020030000019252,Дрогобицька,тис.грн,Q2 2025,675571.33
UA46100050000053848,Жидачiвська,тис.грн,Q2 2025,132302.02
UA46060130000059055,Жовкiвська,тис.грн,Q2 2025,263296.64
UA46060150000060045,Жовтанецька,тис.грн,Q2 2025,88426.39
UA46100070000076013,Журавненська,тис.грн,Q2 2025,59457.74
UA46040050000062043,Заболотцiвська,тис.грн,Q2 2025,45358.02
UA46060170000014754,Зимноводiвська,тис.грн,Q2 2025,227993.71
UA46040070000032075,Золочiвська,тис.грн,Q2 2025,324911.48
UA46140010000081849,Iвано-Франкiвська,тис.грн,Q2 2025,170286.04
UA46060190000038354,Кам'янка-Бузька,тис.грн,Q2 2025,170243.4
UA46100090000076723,Козiвська,тис.грн,Q2 2025,80080.64
UA46060210000047788,Комарнiвська,тис.грн,Q2 2025,81713.66
UA46040090000012087,Красненська,тис.грн,Q2 2025,101333.02
UA46060230000093092,Куликiвська,тис.грн,Q2 2025,92108.55
UA46120070000071541,Лопатинська,тис.грн,Q2 2025,70245.07
UA46060250000025047,Львiвська,тис.грн,Q2 2025,10052107.14
UA46020050000037271,Меденицька,тис.грн,Q2 2025,97571.54
UA46100110000018989,Миколаївська,тис.грн,Q2 2025,240861.12
UA46100130000048262,Моршинська,тис.грн,Q2 2025,134028.79
UA46140030000023506,Мостиська,тис.грн,Q2 2025,225498.96
UA46060270000027170,Мурованська,тис.грн,Q2 2025,124431.95
UA46080070000035761,Новокалинiвська,тис.грн,Q2 2025,79622.43
UA46100150000087495,Новороздiльська,тис.грн,Q2 2025,200005.9
UA46140050000054478,Новояворiвська,тис.грн,Q2 2025,343484.23
UA46060290000052876,Новояричiвська,тис.грн,Q2 2025,146929.29
UA46060310000086550,Оброшинська,тис.грн,Q2 2025,86539.86
UA46060330000065074,Перемишлянська,тис.грн,Q2 2025,162549.14
UA46060350000036006,Пiдберiзцiвська,тис.грн,Q2 2025,116930.25
UA46040110000093394,Пiдкамiнська,тис.грн,Q2 2025,55227.93
UA46040130000035029,Поморянська,тис.грн,Q2 2025,36446.03
UA46060370000065608,Пустомитiвська,тис.грн,Q2 2025,174919.67
